,bathrooms,has3DModel,propertyType,lotAreaValue,unit,priceChange,zestimate,daysOnZillow,datePriceChanged,price,bedrooms,longitude,hasVideo,latitude,zpid,rentZestimate,lotAreaUnit,livingArea,Street Address,City,State/ZIP
454,3,0,TOWNHOUSE,,4,-10000.0,,62,1737360000000.0,615000,3.0,-73.91717,False,40.627987,2078223526,,,1200,1084 E 73rd Street #4,Brooklyn,NY 11234
455,2,0,CONDO,,Apt C,,,368,,175000,2.0,-73.785835,False,40.71044,89025516,2356,,646,175-28 89th Avenue #C,Jamaica,NY 11432
457,1,0,CONDO,,Apt 407,-20000.0,,208,1731571200000.0,399000,2.0,-73.847115,False,40.723442,245392726,2739,,1152,69-40 Yellowstone Boulevard #407,Forest Hills,NY 11375
458,1,0,CONDO,,Apt 305,,,2,,215000,1.0,-73.79781,False,40.710743,72651689,,,1250,165-20 Highland Avenue #305,Jamaica,NY 11432
460,1,0,CONDO,,Apt 5W,,1006900.0,5,,985000,1.0,-74.00376,False,40.734608,72514257,6188,,0,78 Charles St APT 5W,New York,NY 10014
462,1,0,CONDO,,Apt 3B,,802000.0,73,,795000,1.0,-73.998055,False,40.750134,119918303,4817,,0,357 W 29th St APT 3B,Manhattan,NY 10001
463,1,0,CONDO,,Apt 5ER,,,4,,649000,2.0,-73.968735,False,40.799767,244762819,6860,,0,242 W 104th St APT 5ER,New York,NY 10025
466,2,0,CONDO,,Apt 2F,,991400.0,3,,985000,1.0,-73.96279,False,40.77347,72527504,6326,,0,57 E 75th St APT 2F,New York,NY 10021
469,3,0,CONDO,,2B,-204000.0,2980000.0,5,1738051200000.0,2995000,3.0,-74.008156,False,40.72417,2067392902,15647,,1552,219 Hudson St #2B,New York,NY 10013
470,2,0,CONDO,,Apt 5C,,986200.0,18,,949000,2.0,-73.98068,False,40.724323,72511541,5917,,0,613 E 6th St APT 5C,New York,NY 10009
471,2,0,CONDO,,Apt 1F,,984900.0,4,,940000,1.0,-73.99883,False,40.682236,79709898,4891,,0,210 President St APT 1F,Brooklyn,NY 11231
472,2,0,CONDO,,Apt 1M,,532300.0,105,,549000,3.0,-73.857124,False,40.720295,219856859,3594,,1150,67-50 Thornton Pl APT 1M,Forest Hills,NY 11375
474,1,0,CONDO,,Apt 17E,24000.0,400000.0,26,1738310400000.0,399000,1.0,-73.96213,False,40.763058,299247838,4711,,0,301 E 63rd St APT 17E,New York,NY 10065
475,2,0,CONDO,,Unit 5F,-50000.0,358900.0,12,1730966400000.0,349000,2.0,-73.77628,False,40.78163,441148051,,,0,23-20 Bell Blvd UNIT 5F,Bayside,NY 11360
476,1,0,CONDO,,Unit A38,,196000.0,18,,189000,1.0,-73.846985,False,40.727413,439578864,,,0,67-66 108th St UNIT A38,Forest Hills,NY 11375
478,1,0,CONDO,,3H,-2000.0,762200.0,396,1735200000000.0,417000,3.0,-73.9081,False,40.776,2070499037,3778,,0,21-05 33rd St #3H,Astoria,NY 11105
484,1,0,CONDO,,Apt 7I,-10000.0,,165,1728025200000.0,139000,0.0,-73.9776,False,40.764317,439273234,,,650,100 W 57th St APT 7I,New York,NY 10019
485,1,0,CONDO,,3A,,477700.0,3,,480000,1.0,-73.922935,False,40.739838,84147022,2457,,900,42-05 48th Ave #3A,Woodside,NY 11377
486,1,0,CONDO,,Unit 112A,,333000.0,179,,330000,2.0,-73.75305,False,40.74053,416165279,,,900,74-45 220th Street #112A,Bayside,NY 11364
491,1,0,CONDO,,Apt 2B,-15000.0,,66,1733212800000.0,110000,1.0,-73.9014,False,40.81332,339864075,,,550,1023 Avenue Saint John #2B,Bronx,NY 10455
492,2,0,CONDO,,Apt 3C,,,79,,685000,2.0,-73.96413,False,40.77154,244781527,9166,,0,59 E 72nd St APT 3C,New York,NY 10021
494,2,0,CONDO,,Apt 2E,-50000.0,988800.0,299,1716534000000.0,1000000,4.0,-73.940636,False,40.79182,31546777,5104,,1700,305 E 108th St APT 2E,New York,NY 10029
495,1,0,CONDO,,Apt 54,-6001.0,,141,1737619200000.0,119999,1.0,-73.76715,False,40.68257,79740986,1731,,,123-27 Merrick Boulevard #54,Jamaica,NY 11434
496,4,0,MULTI_FAMILY,,Floor 2,,941900.0,11,,945000,6.0,-73.85234,False,40.85047,445998194,,,2600,1812 Tomlinson Ave FLOOR 2,Bronx,NY 10461
499,3,0,CONDO,,3A,-145000.0,2248800.0,5,1738051200000.0,2250000,2.0,-74.008156,False,40.72417,2067392901,11786,,1252,219 Hudson St #3A,New York,NY 10013
501,1,0,CONDO,,1A,-10000.0,412400.0,16,1737273600000.0,410000,1.0,-73.98087,False,40.72274,2077571863,5515,,,283 E 4th St #1A,New York,NY 10009
503,1,0,CONDO,,Apt 3H,,,2,,185000,1.0,-73.896706,False,40.882454,244431658,2271,,900,75 W 238th St APT 3H,Bronx,NY 10463
504,1,0,CONDO,,Apt 3C,,279200.0,20,,275000,1.0,-73.95617,False,40.777775,72540171,3652,,0,148 E 84th St APT 3C,New York,NY 10028
507,1,0,CONDO,,Apt 1020,,780800.0,6,,780000,1.0,-73.98209,False,40.776104,2065707999,4761,,571,155 W 68th St APT 1020,New York,NY 10023
508,1,0,CONDO,,Apt 6M,-15000.0,,206,1735977600000.0,260000,3.0,-73.9411,False,40.592514,112750272,3240,,1200,2427 E 29th St APT 6M,Brooklyn,NY 11235
509,1,0,CONDO,,Apt 8,,,105,,169000,2.0,-73.90534,False,40.84882,215948953,2570,,1200,212 E Tremont Ave APT 8,Bronx,NY 10457
512,1,0,CONDO,,Apt 6E,,,50,,185000,2.0,-73.865234,False,40.837254,121675152,,,922,1480 Thieriot Avenue #6E,Bronx,NY 10460
513,1,0,CONDO,,20-3,,,102,,275000,2.0,-73.744415,False,40.73246,219876430,2322,,,221-79 Manor Road #20-3,Queens Village,NY 11427
515,1,0,TOWNHOUSE,871.2,Apt B,,421800.0,10,,425000,2.0,-74.07134,False,40.605564,446002760,,sqft,900,87 Narrows Rd N APT B,Staten Island,NY 10305
519,7,0,CONDO,,Unit PENTHOUSE,,27607700.0,139,,29995000,6.0,-74.00201,False,40.723095,440450536,,,6900,62 Wooster St UNIT PENTHOUSE,New York,NY 10012
521,1,0,CONDO,,Unit 2,,,54,,379000,3.0,-73.88864,False,40.665215,83042898,,,1000,582 van siclen Ave #2,Brooklyn,NY 11207
523,2,0,CONDO,,4C,,961500.0,96,,935000,2.0,-73.94031,False,40.74884,442145275,,,0,42-62 Hunter St #4C,Long Island City,NY 11101
